full,fips,postal,post
Alabama,01,AL,Ala.
Alaska,02,AK,Alaska
Arizona,04,AZ,Ariz.
Arkansas,05,AR,Ark.
California,06,CA,Calif.
Colorado,08,CO,Colo.
Connecticut,09,CT,Conn.
Delaware,11,DC,Del.
D.C.,10,DE,D.C.
Florida,12,FL,Fla.
Georgia,13,GA,Ga.
Hawaii,15,HI,Hawaii
Idaho,16,ID,Idaho
Illinois,17,IL,Ill.
Indiana,18,IN,Ind.
Iowa,19,IA,Iowa
Kansas,20,KS,Kan.
Kentucky,21,KY,Ky.
Louisiana,22,LA,La.
Maine,23,ME,Maine
Maryland,24,MD,Md.
Massachusetts,25,MA,Mass.
Michigan,26,MI,Mich.
Minnesota,27,MN,Minn.
Mississippi,28,MS,Miss.
Missouri,29,MO,Mo.
Montana,30,MT,Mont.
Nebraska,31,NE,Neb.
Nevada,32,NV,Nev.
New Hampshire,33,NH,N.H.
New Jersey,34,NJ,N.J.
New Mexico,35,NM,N.M.
New York,36,NY,N.Y.
North Carolina,37,NC,N.C.
North Dakota,38,ND,N.D.
Ohio,39,OH,Ohio
Oklahoma,40,OK,Okla.
Oregon,41,OR,Ore.
Pennsylvania,42,PA,Pa.
Rhode Island,44,RI,R.I.
South Carolina,45,SC,S.C.
South Dakota,46,SD,S.D.
Tennessee,47,TN,Tenn.
Texas,48,TX,Texas
Utah,49,UT,Utah
Vermont,50,VT,Vt.
Virginia,51,VA,Va.
Washington,53,WA,Wash.
West Virginia,54,WV,W.Va.
Wisconsin,55,WI,Wis.
Wyoming,56,WY,Wyo.
